n_users,date
1,2007-10-20
50000,2009-01-28
100000,2009-06-29
150000,2009-11-07
200000,2010-02-09
250000,2010-04-22
300000,2010-06-08
350000,2010-07-31
400000,2010-09-15
500000,2010-11-28
550000,2011-01-06
600000,2011-02-04
650000,2011-03-04
700000,2011-03-30
750000,2011-04-25
800000,2011-05-20
850000,2011-06-14
900000,2011-07-07
950000,2011-07-31
1000000,2011-08-23
2000000,2012-07-18
3000000,2012-12-09
4000000,2013-03-28
5000000,2013-07-12
6000000,2013-11-21
7000000,2014-03-19
8000000,2014-06-26
9000000,2014-10-02
10000000,2014-11-29
11000000,2015-02-13
12000000,2015-04-17
13000000,2015-06-22
14000000,2015-08-27
15000000,2015-10-06
16000000,2015-11-24
17000000,2016-02-01
18000000,2016-03-22
19000000,2016-05-01
20000000,2016-06-17
21000000,2016-08-12
22000000,2016-09-05
23000000,2016-10-22
24000000,2016-11-26
25000000,2017-01-09
26000000,2017-02-24
27000000,2017-04-07
28000000,2017-04-25
29000000,2017-05-27
29253523,2017-06-07
